Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CAP_PAN_10X20_PAN,3,470u,
"C10, C18, C20, C21, C22, C23, C24, C28, C34, C35, C36, C37, C38, C39, C40, C43",0603,16,100n,
C11,0603,1,47u,
C12,0805,1,220p,
"C13, C32, C41",0603,3,10n,
C14,0603,1,12n,
C15,0603,1,470p,
"C16, C55",0603,2,0u1,
"C17, C49, C50",0603,3,22u,
"C19, C33",0603,2,4u7,
"C25, C26, C27",CAP_YX_16X31P5_RUB,3,470u,
"C29, C30, C31",1210,3,10u,
"C4, C5, C6, C7",0805,4,22u,
"C42, C44, C47, C48, C53, C54, C8, C9",0603,8,1u,
"C45, C46",0603,2,10u,
"C51, C52",0603,2,2n2,
"D1, D19, D2, D20",D_SOD_123_M,4,MMSZ5226B-7-F,
"D10, D15, D17, D5",0603,4,Red,
"D11, D12, D13, D14, D7, D8",0603,6,BLUE,
"D16, D18, D6, D9",0603,4,Green,
"D21, D24",SOT-23,2,BAT54S,
D22,D_SOD-123,1,MMSZ5266BT1G,
D23,D_SOD-123,1,MMSZ5257BT1G,
D3,SOT95P280X145-6N,1,USBLC6-2SC6,
D4,0603,1,Orange,
FB1,0603,1,300R,
IC1,SOT65P210X110-5N,1,ESDALC6V1W5,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J4,IDC-STM32-Prog-Header_2x05_P2.54mm_Vertical,1,STM32-Prog-Header,
J5,Display_128x64_096_I2C,1,OLED,
L1,3u3_induc,1,1u5,
"Q1, Q2, Q3, Q4",SOT-23-3_Adjusted,4,SI2302A-TPMSCT-ND,
R1,0603,1,50k,
"R10, R2, R9",0603,3,100k,
R11,1u5_res_,1,1u5,
R12,0603,1,R,
"R13, R14, R15, R17, R18, R19",0603,6,220R,
"R16, R20, R21, R22, R23, R34, R35, R38, R39",0603,9,7.5k,
R24,0603,1,10k,
"R25, R26, R28",0603,3,1k,
R27,0603,1,8k,
"R29, R30, R31",0603,3,1k2,
"R3, R8",0603,2,200k,
"R32, R36",0603,2,12k,
"R33, R37",0603,2,30k,
R4,0603,1,15.4k,
"R40, R41",0603,2,4k7,
R42,0603,1,27k,
R43,0603,1,3k,
R44,0603,1,3k6,
R45,0603,1,68k,
"R46, R47",0603,2,10,
R48,WSLP3921L7000FEA,1,1u5,
R5,0603,1,6k98,
R6,0603,1,28k,
R7,0603,1,25k,
"SW1, SW2",PinHeader_1x03_P2.54mm_Vertical,2,SW_SPDT,
SW3,SW_PUSH_6mm_H5mm,1,RESET,
SW4,SW_PUSH_6mm_H5mm,1,O/P Voltage Adjust,
"U1, U12",SOIC-8_3.9x4.9mm_P1.27mm,2,ACS713xLCTR-30A,
"U10, U11, U4, U5, U6, U7, U8, U9",PowerMosDFNHybrid,8,NTMFS4D0N08XT1G,
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2542FD,
U14,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G491KEUx,
U15,SOT-223-3_TabPin2,1,AZ1117IH-5.0,
U16,SOT-223-3_TabPin2,1,AZ1117IH-3.3,
"U17, U18",TI_SO-PowerPAD-8,2,TPS259631,
U19,DB7W2-Male,1,~,
"U2, U20",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6007,
"U21, U22",PowerPole15-45BoardEdge2x1,2,~,
U3,RGR0020C-MFG,1,LM51231QRGRRQ1,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,OXETDLJANF-8MHZ,
